,precision,recall,f1-score,support
0,0.9972972972972973,1.0,0.9986468200270636,369.0
1,0.9926470588235294,1.0,0.996309963099631,270.0
2,1.0,0.9964788732394366,0.9982363315696648,284.0
3,0.8285024154589372,0.9098143236074271,0.8672566371681416,377.0
4,0.8984126984126984,0.7994350282485876,0.8460388639760837,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9485436893203884,0.9485436893203884,0.9485436893203884,0.9485436893203884
macro avg,0.9528099116654104,0.9509547041825752,0.9510814359734309,2060.0
weighted avg,0.9497091817724127,0.9485436893203884,0.9482800945886382,2060.0
