,precision,recall,f1-score,support
0,0.9891304347826086,0.986449864498645,0.9877883310719131,369.0
1,0.9924242424242424,0.9703703703703703,0.9812734082397003,270.0
2,0.9625850340136054,0.9964788732394366,0.9792387543252595,284.0
3,0.8443877551020408,0.8779840848806366,0.8608582574772432,377.0
4,0.8690476190476191,0.8248587570621468,0.8463768115942029,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9407766990291262,0.9407766990291262,0.9407766990291262,0.9407766990291262
macro avg,0.9429291808950193,0.9426903250085393,0.9425892604513865,2060.0
weighted avg,0.9409198380415138,0.9407766990291262,0.9406322694135423,2060.0
