,precision,recall,f1-score,support
0,1.0,1.0,1.0,369.0
1,0.996309963099631,1.0,0.9981515711645101,270.0
2,1.0,0.9964788732394366,0.9982363315696648,284.0
3,0.8233890214797136,0.9151193633952255,0.8668341708542714,377.0
4,0.8974358974358975,0.7909604519774012,0.8408408408408409,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9480582524271844,0.9480582524271844,0.9480582524271844,0.9480582524271844
macro avg,0.9528558136692071,0.9504264481020105,0.9506771524048813,2060.0
weighted avg,0.9495697372946894,0.9480582524271844,0.9477932924514177,2060.0
