,precision,recall,f1-score,support
0,0.994579945799458,0.994579945799458,0.994579945799458,369.0
1,0.996309963099631,1.0,0.9981515711645101,270.0
2,0.9964664310954063,0.9929577464788732,0.9947089947089947,284.0
3,0.8156028368794326,0.9151193633952255,0.8625,377.0
4,0.8961038961038961,0.7796610169491526,0.8338368580060423,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9446601941747573,0.9446601941747573,0.9446601941747573,0.9446601941747573
macro avg,0.949843845496304,0.9470530121037849,0.9472962282798342,2060.0
weighted avg,0.9464578665982141,0.9446601941747573,0.9443393332261705,2060.0
