,precision,recall,f1-score,support
0,0.9839142091152815,0.994579945799458,0.9892183288409704,369.0
1,0.9962825278810409,0.9925925925925926,0.9944341372912802,270.0
2,0.9893992932862191,0.9859154929577465,0.9876543209876543,284.0
3,0.7912844036697247,0.9151193633952255,0.8487084870848709,377.0
4,0.8976109215017065,0.7429378531073446,0.8129829984544049,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9364077669902913,0.9364077669902913,0.9364077669902913,0.9364077669902913
macro avg,0.9430818925756621,0.9385242079753945,0.9388330454431967,2060.0
weighted avg,0.9393779181455323,0.9364077669902913,0.9358114993472393,2060.0
